text,category,priority
road construction incomplete in Noida Sector 18,Roads (PWD/NHAI),Medium
need a sign board direction for Gonda City village,Roads (PWD/NHAI),Low
"birth certificate spelling correction request at Gomti Nagar, Lucknow",Health (Medical),Low
village pond is being encroached by builder in Village Chhata,Rural Development (Panchayati Raj),Medium
unhygienic toilets in the Basti government hospital,Health (Medical),Medium
talaab par kabza ho raha hai Block Malihabad gaon mein,Rural Development (Panchayati Raj),Medium
library books request for Remote area of Sonbhadra village school,Rural Development (Panchayati Raj),Low
ladayi ho rahi hai Block Malihabad chourahe par,Police (Home Dept),High
doctor refused to treat critical patient in Village Chhata phc,Health (Medical),High
street light pole looking tilted in Gram Panchayat Bojhi,Electricity (UPPCL),Low
encroachment by shopkeepers on road in Block Malihabad,Roads (PWD/NHAI),Medium
"kachra uthane vali gaadi nahi aayi Hazratganj, Lucknow mein",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
road construction incomplete in Tehsil Bikapur,Roads (PWD/NHAI),Medium
"potholes needs repair in Gomti Nagar, Lucknow before monsoon",Roads (PWD/NHAI),Medium
child kidnapped from Orai school area,Police (Home Dept),High
"chori ho gayi hai Gram Panchayat Bojhi mein, police bhejo",Police (Home Dept),High
birth certificate spelling correction request at Remote area of Sonbhadra,Health (Medical),Low
unhygienic toilets in the Barabanki Town government hospital,Health (Medical),Medium
bridge railing toot gayi hai Meerut City mein,Roads (PWD/NHAI),High
bijli ka bill bahut jyada aaya hai Basti mein,Electricity (UPPCL),Medium
village pond is being encroached by builder in Remote area of Sonbhadra,Rural Development (Panchayati Raj),Medium
kachra uthane vali gaadi nahi aayi Faizabad Chowk mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"road caved in due to heavy rain in Faizabad Chowk, traffic blocked",Roads (PWD/NHAI),High
"sewage water mixing with drinking water in Basti, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
library books request for Remote area of Sonbhadra village school,Rural Development (Panchayati Raj),Low
"meter reading galat hai Civil Lines, Kanpur wale ghar ki",Electricity (UPPCL),Medium
meter name change application pending in Basti,Electricity (UPPCL),Low
doctor refused to treat critical patient in Tehsil Bikapur phc,Health (Medical),High
"chori ho gayi hai Agra Fort area mein, police bhejo",Police (Home Dept),High
pradhan embezzled all money for road construction in Village Basrehar,Rural Development (Panchayati Raj),High
passport verification pending at Raebareli Market thana for 2 weeks,Police (Home Dept),Low
"zebra crossing repaint kara do Sigra, Varanasi chowk par",Roads (PWD/NHAI),Low
public toilet tap is dripping in Ghaziabad,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
vaccine kab lagega Post Kakori center par?,Health (Medical),Low
potholes needs repair in Raebareli Market before monsoon,Roads (PWD/NHAI),Medium
passport verification pending at Block Malihabad thana for 2 weeks,Police (Home Dept),Low
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
ladayi ho rahi hai Mau Tehsil chourahe par,Police (Home Dept),High
character certificate chahiye Block Malihabad police station se,Police (Home Dept),Low
street light pole looking tilted in Basti,Electricity (UPPCL),Low
general query about filing fir online for Village Rampur resident,Police (Home Dept),Low
"open manhole on main road in Hazratganj, Lucknow, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"open manhole on main road in Orai, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
ganda paani nalo se aa raha hai Gram Kachhona area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
fake medicine racket operating in Gonda City medical stores,Health (Medical),High
oxygen cylinder available nahi hai Village Rampur hospital me,Health (Medical),High
"garbage truck not coming to Sigra, Varanasi for last 3 days",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
sadak par bada gadda hai Prayagraj City market ke paas,Roads (PWD/NHAI),High
fake medicine racket operating in Barabanki Town medical stores,Health (Medical),High
footpath tiles broken in some places at Ghaziabad,Roads (PWD/NHAI),Low
fake medicine racket operating in Village Chhata medical stores,Health (Medical),High
mobile phone snatched while walking in Post Kakori,Police (Home Dept),Medium
kachra uthane vali gaadi nahi aayi Gram Kachhona mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
general query about filing fir online for Gram Kachhona resident,Police (Home Dept),Low
vaccine kab lagega Etawah Main center par?,Health (Medical),Low
bijli ka bill bahut jyada aaya hai Gram Panchayat Bojhi mein,Electricity (UPPCL),Medium
child kidnapped from Prayagraj City school area,Police (Home Dept),High
ganda paani nalo se aa raha hai Ghaziabad area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
pradhan ne paisa kha liya Village Chhata road ka,Rural Development (Panchayati Raj),High
child kidnapped from Gram Kachhona school area,Police (Home Dept),High
zebra crossing repaint kara do Ghaziabad chowk par,Roads (PWD/NHAI),Low
doctor refused to treat critical patient in Prayagraj City phc,Health (Medical),High
"live wire fell on the street in Barabanki Town, huge danger to kids",Electricity (UPPCL),High
garbage truck not coming to Sitapur One for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"road caved in due to heavy rain in Unnao City, traffic blocked",Roads (PWD/NHAI),High
library books request for Village Basrehar village school,Rural Development (Panchayati Raj),Low
village pond is being encroached by builder in Gram Kachhona,Rural Development (Panchayati Raj),Medium
public toilet tap is dripping in Mau Tehsil,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
public toilet tap is dripping in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
library books request for Village Basrehar village school,Rural Development (Panchayati Raj),Low
internet nahi chal raha Gram Panchayat Bojhi panchayat bhavan me,Rural Development (Panchayati Raj),Low
library books request for Gram Panchayat Bojhi village school,Rural Development (Panchayati Raj),Low
character certificate chahiye Gram Kachhona police station se,Police (Home Dept),Low
traffic police asking for bribe at Basti crossing,Police (Home Dept),Medium
vaccine kab lagega Sitapur One center par?,Health (Medical),Low
street light pole looking tilted in Barabanki Town,Electricity (UPPCL),Low
mnrega ka paisa nahi mila Post Kakori mein,Rural Development (Panchayati Raj),High
village pond is being encroached by builder in Block Malihabad,Rural Development (Panchayati Raj),Medium
"park needs cleaning in Civil Lines, Kanpur residential area",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
vaccine kab lagega Block Malihabad center par?,Health (Medical),Low
"child kidnapped from Civil Lines, Kanpur school area",Police (Home Dept),High
ganda paani nalo se aa raha hai Village Basrehar area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
"road caved in due to heavy rain in Tehsil Bikapur, traffic blocked",Roads (PWD/NHAI),High
need a sign board direction for Raebareli Market village,Roads (PWD/NHAI),Low
meter name change application pending in Bareilly Cantt,Electricity (UPPCL),Low
encroachment by shopkeepers on road in Block Malihabad,Roads (PWD/NHAI),Medium
internet nahi chal raha Village Chhata panchayat bhavan me,Rural Development (Panchayati Raj),Low
child kidnapped from Hardoi City school area,Police (Home Dept),High
ganda paani nalo se aa raha hai Barabanki Town area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
character certificate chahiye Village Basrehar police station se,Police (Home Dept),Low
"road caved in due to heavy rain in Village Basrehar, traffic blocked",Roads (PWD/NHAI),High
handpump kharab hai Ghaziabad mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
character certificate chahiye Post Kakori police station se,Police (Home Dept),Low
ladayi ho rahi hai Agra Fort area chourahe par,Police (Home Dept),High
pradhan ne paisa kha liya Post Kakori road ka,Rural Development (Panchayati Raj),High
public toilet tap is dripping in Gram Kachhona,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
park needs cleaning in Unnao City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
meter reading galat hai Gram Panchayat Bojhi wale ghar ki,Electricity (UPPCL),Medium
passport verification pending at Etawah Main thana for 2 weeks,Police (Home Dept),Low
ladayi ho rahi hai Unnao City chourahe par,Police (Home Dept),High
pradhan ne paisa kha liya Tehsil Bikapur road ka,Rural Development (Panchayati Raj),High
talaab par kabza ho raha hai Village Rampur gaon mein,Rural Development (Panchayati Raj),Medium
request to start sewing center for women in Village Basrehar,Rural Development (Panchayati Raj),Low
low voltage problem in Gram Panchayat Bojhi during evening hours,Electricity (UPPCL),Medium
bridge railing toot gayi hai Sitapur One mein,Roads (PWD/NHAI),High
"ganda paani nalo se aa raha hai Hazratganj, Lucknow area me",Sanitation & Water (Jal Nigam/Nagar Nigam),High
child kidnapped from Basti school area,Police (Home Dept),High
traffic police asking for bribe at Ghaziabad crossing,Police (Home Dept),Medium
"open manhole on main road in Raebareli Market, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
bridge railing toot gayi hai Noida Sector 18 mein,Roads (PWD/NHAI),High
ladayi ho rahi hai Village Basrehar chourahe par,Police (Home Dept),High
"vaccine kab lagega Hazratganj, Lucknow center par?",Health (Medical),Low
library books request for Tehsil Bikapur village school,Rural Development (Panchayati Raj),Low
"ambulance nahi aa rahi Meerut City mein, patient serious hai",Health (Medical),High
"sewage water mixing with drinking water in Meerut City, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
phone chori ho gaya Hardoi City market me,Police (Home Dept),Medium
bridge railing toot gayi hai Mau Tehsil mein,Roads (PWD/NHAI),High
ganda paani nalo se aa raha hai Gram Kachhona area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
vaccine kab lagega Village Basrehar center par?,Health (Medical),Low
" मच्छर बहुत हो गए हैं Sitapur One में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
birth certificate spelling correction request at Sitapur One,Health (Medical),Low
water pipeline leakage wasting water in Sitapur One,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
mnrega ka paisa nahi mila Tehsil Bikapur mein,Rural Development (Panchayati Raj),High
long waiting line for opd registration in Remote area of Sonbhadra,Health (Medical),Low
footpath tiles broken in some places at Basti,Roads (PWD/NHAI),Low
low voltage problem in Noida Sector 18 during evening hours,Electricity (UPPCL),Medium
pradhan ne paisa kha liya Mau Tehsil road ka,Rural Development (Panchayati Raj),High
huge crater in middle of road at Prayagraj City causing accidents daily,Roads (PWD/NHAI),High
park needs cleaning in Gonda City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"live wire fell on the street in Gram Panchayat Bojhi, huge danger to kids",Electricity (UPPCL),High
pradhan ne paisa kha liya Block Malihabad road ka,Rural Development (Panchayati Raj),High
unhygienic toilets in the Hardoi City government hospital,Health (Medical),Medium
loudspeaker shor kar raha hai Faizabad Chowk mein raat ko,Police (Home Dept),Medium
doctor refused to treat critical patient in Hardoi City phc,Health (Medical),High
zebra crossing repaint kara do Gram Kachhona chowk par,Roads (PWD/NHAI),Low
zebra crossing repaint kara do Gonda City chowk par,Roads (PWD/NHAI),Low
"road construction incomplete in Civil Lines, Kanpur",Roads (PWD/NHAI),Medium
internet nahi chal raha Gram Kachhona panchayat bhavan me,Rural Development (Panchayati Raj),Low
doctor refused to treat critical patient in Basti phc,Health (Medical),High
request to start sewing center for women in Gram Kachhona,Rural Development (Panchayati Raj),Low
kachra uthane vali gaadi nahi aayi Agra Fort area mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
low voltage problem in Tehsil Bikapur during evening hours,Electricity (UPPCL),Medium
loudspeaker shor kar raha hai Village Basrehar mein raat ko,Police (Home Dept),Medium
"Mau Tehsil me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
"ambulance nahi aa rahi Village Basrehar mein, patient serious hai",Health (Medical),High
"open manhole on main road in Hazratganj, Lucknow, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
need a sign board direction for Block Malihabad village,Roads (PWD/NHAI),Low
"road caved in due to heavy rain in Etawah Main, traffic blocked",Roads (PWD/NHAI),High
long waiting line for opd registration in Noida Sector 18,Health (Medical),Low
library books request for Remote area of Sonbhadra village school,Rural Development (Panchayati Raj),Low
water pipeline leakage wasting water in Village Chhata,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
mnrega ka paisa nahi mila Tehsil Bikapur mein,Rural Development (Panchayati Raj),High
need a sign board direction for Barabanki Town village,Roads (PWD/NHAI),Low
phone chori ho gaya Gram Panchayat Bojhi market me,Police (Home Dept),Medium
meter reading galat hai Remote area of Sonbhadra wale ghar ki,Electricity (UPPCL),Medium
low voltage problem in Meerut City during evening hours,Electricity (UPPCL),Medium
ganda paani nalo se aa raha hai Barabanki Town area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
public toilet tap is dripping in Faizabad Chowk,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
pradhan embezzled all money for road construction in Gram Panchayat Bojhi,Rural Development (Panchayati Raj),High
"primary school roof is leaking in Post Kakori, dangerous for kids",Rural Development (Panchayati Raj),Medium
"sewage water mixing with drinking water in Raebareli Market, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
public toilet tap is dripping in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"sadak toot gayi hai Gomti Nagar, Lucknow mein",Roads (PWD/NHAI),Medium
"ambulance nahi aa rahi Gonda City mein, patient serious hai",Health (Medical),High
long waiting line for opd registration in Gonda City,Health (Medical),Low
transformer caught fire in Mau Tehsil and oil is leaking,Electricity (UPPCL),High
"live wire fell on the street in Agra Fort area, huge danger to kids",Electricity (UPPCL),High
x-ray machine kharab hai Block Malihabad mein,Health (Medical),Medium
library books request for Mau Tehsil village school,Rural Development (Panchayati Raj),Low
"live wire fell on the street in Agra Fort area, huge danger to kids",Electricity (UPPCL),High
garbage truck not coming to Agra Fort area for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
street light pole looking tilted in Ghaziabad,Electricity (UPPCL),Low
doctor refused to treat critical patient in Meerut City phc,Health (Medical),High
ladayi ho rahi hai Remote area of Sonbhadra chourahe par,Police (Home Dept),High
handpump kharab hai Agra Fort area mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"character certificate chahiye Civil Lines, Kanpur police station se",Police (Home Dept),Low
bijli ka bill bahut jyada aaya hai Mau Tehsil mein,Electricity (UPPCL),Medium
"sewage water mixing with drinking water in Agra Fort area, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
frequent power cuts in Tehsil Bikapur is affecting exam preparation,Electricity (UPPCL),Medium
internet nahi chal raha Block Malihabad panchayat bhavan me,Rural Development (Panchayati Raj),Low
"clean water nahi aa raha hai Unnao City mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
sadak toot gayi hai Village Rampur mein,Roads (PWD/NHAI),Medium
"character certificate chahiye Hazratganj, Lucknow police station se",Police (Home Dept),Low
long waiting line for opd registration in Faizabad Chowk,Health (Medical),Low
"open manhole on main road in Hazratganj, Lucknow, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
stray cattle destroying crops in Village Basrehar farms,Rural Development (Panchayati Raj),Medium
x-ray machine kharab hai Block Malihabad mein,Health (Medical),Medium
"chori ho gayi hai Block Malihabad mein, police bhejo",Police (Home Dept),High
vaccine kab lagega Village Rampur center par?,Health (Medical),Low
meter reading galat hai Unnao City wale ghar ki,Electricity (UPPCL),Medium
long waiting line for opd registration in Tehsil Bikapur,Health (Medical),Low
poore gaon mein light nahi hai Hardoi City mein pichle 2 din se,Electricity (UPPCL),High
"ambulance nahi aa rahi Ghaziabad mein, patient serious hai",Health (Medical),High
general query about filing fir online for Unnao City resident,Police (Home Dept),Low
sadak par bada gadda hai Etawah Main market ke paas,Roads (PWD/NHAI),High
ganda paani nalo se aa raha hai Faizabad Chowk area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
birth certificate spelling correction request at Basti,Health (Medical),Low
"sewage water mixing with drinking water in Meerut City, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
solar panel subsidy ki jankari chahiye Agra Fort area ke liye,Electricity (UPPCL),Low
"ambulance nahi aa rahi Etawah Main mein, patient serious hai",Health (Medical),High
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
street light pole looking tilted in Gram Panchayat Bojhi,Electricity (UPPCL),Low
"road caved in due to heavy rain in Prayagraj City, traffic blocked",Roads (PWD/NHAI),High
"birth certificate spelling correction request at Hazratganj, Lucknow",Health (Medical),Low
"ambulance nahi aa rahi Gomti Nagar, Lucknow mein, patient serious hai",Health (Medical),High
"loudspeaker shor kar raha hai Hazratganj, Lucknow mein raat ko",Police (Home Dept),Medium
loudspeaker shor kar raha hai Hardoi City mein raat ko,Police (Home Dept),Medium
"water pipeline leakage wasting water in Civil Lines, Kanpur",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
stray cattle destroying crops in Mau Tehsil farms,Rural Development (Panchayati Raj),Medium
frequent power cuts in Faizabad Chowk is affecting exam preparation,Electricity (UPPCL),Medium
passport verification pending at Agra Fort area thana for 2 weeks,Police (Home Dept),Low
water pipeline leakage wasting water in Basti,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
general query about filing fir online for Village Chhata resident,Police (Home Dept),Low
"clean water nahi aa raha hai Noida Sector 18 mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
potholes needs repair in Village Chhata before monsoon,Roads (PWD/NHAI),Medium
sadak par bada gadda hai Etawah Main market ke paas,Roads (PWD/NHAI),High
park needs cleaning in Gonda City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
bijli ka bill bahut jyada aaya hai Remote area of Sonbhadra mein,Electricity (UPPCL),Medium
transformer caught fire in Bareilly Cantt and oil is leaking,Electricity (UPPCL),High
traffic police asking for bribe at Ghaziabad crossing,Police (Home Dept),Medium
"doctor late aate hain Sigra, Varanasi hospital mein",Health (Medical),Medium
stray cattle destroying crops in Mau Tehsil farms,Rural Development (Panchayati Raj),Medium
public toilet tap is dripping in Sitapur One,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
traffic police asking for bribe at Faizabad Chowk crossing,Police (Home Dept),Medium
"sewage water mixing with drinking water in Gram Kachhona, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
fake medicine racket operating in Gonda City medical stores,Health (Medical),High
garbage truck not coming to Agra Fort area for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
poore gaon mein light nahi hai Gonda City mein pichle 2 din se,Electricity (UPPCL),High
child kidnapped from Sitapur One school area,Police (Home Dept),High
bridge railing toot gayi hai Agra Fort area mein,Roads (PWD/NHAI),High
zebra crossing repaint kara do Basti chowk par,Roads (PWD/NHAI),Low
public toilet tap is dripping in Gram Kachhona,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
doctor refused to treat critical patient in Noida Sector 18 phc,Health (Medical),High
character certificate chahiye Etawah Main police station se,Police (Home Dept),Low
ganda paani nalo se aa raha hai Village Chhata area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
"character certificate chahiye Sigra, Varanasi police station se",Police (Home Dept),Low
water pipeline leakage wasting water in Prayagraj City,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
"primary school roof is leaking in Tehsil Bikapur, dangerous for kids",Rural Development (Panchayati Raj),Medium
"flood water entered village houses in Tehsil Bikapur, need rescue",Rural Development (Panchayati Raj),High
encroachment by shopkeepers on road in Village Basrehar,Roads (PWD/NHAI),Medium
"open manhole on main road in Agra Fort area, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
pradhan embezzled all money for road construction in Village Chhata,Rural Development (Panchayati Raj),High
"live wire fell on the street in Ghaziabad, huge danger to kids",Electricity (UPPCL),High
"live wire fell on the street in Village Chhata, huge danger to kids",Electricity (UPPCL),High
"x-ray machine kharab hai Sigra, Varanasi mein",Health (Medical),Medium
ladayi ho rahi hai Prayagraj City chourahe par,Police (Home Dept),High
zebra crossing repaint kara do Village Chhata chowk par,Roads (PWD/NHAI),Low
transformer caught fire in Gram Kachhona and oil is leaking,Electricity (UPPCL),High
encroachment by shopkeepers on road in Bareilly Cantt,Roads (PWD/NHAI),Medium
"sewage water mixing with drinking water in Agra Fort area, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"ambulance nahi aa rahi Gram Panchayat Bojhi mein, patient serious hai",Health (Medical),High
mobile phone snatched while walking in Sitapur One,Police (Home Dept),Medium
"street light pole looking tilted in Hazratganj, Lucknow",Electricity (UPPCL),Low
library books request for Gram Panchayat Bojhi village school,Rural Development (Panchayati Raj),Low
solar panel subsidy ki jankari chahiye Gram Panchayat Bojhi ke liye,Electricity (UPPCL),Low
x-ray machine kharab hai Hardoi City mein,Health (Medical),Medium
"flood water entered village houses in Post Kakori, need rescue",Rural Development (Panchayati Raj),High
doctor refused to treat critical patient in Gram Panchayat Bojhi phc,Health (Medical),High
road construction incomplete in Prayagraj City,Roads (PWD/NHAI),Medium
"clean water nahi aa raha hai Gram Kachhona mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
zebra crossing repaint kara do Village Basrehar chowk par,Roads (PWD/NHAI),Low
zebra crossing repaint kara do Block Malihabad chowk par,Roads (PWD/NHAI),Low
"ambulance nahi aa rahi Agra Fort area mein, patient serious hai",Health (Medical),High
loudspeaker shor kar raha hai Meerut City mein raat ko,Police (Home Dept),Medium
street light pole looking tilted in Block Malihabad,Electricity (UPPCL),Low
potholes needs repair in Unnao City before monsoon,Roads (PWD/NHAI),Medium
doctor late aate hain Faizabad Chowk hospital mein,Health (Medical),Medium
garbage truck not coming to Sitapur One for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
encroachment by shopkeepers on road in Village Chhata,Roads (PWD/NHAI),Medium
solar panel subsidy ki jankari chahiye Post Kakori ke liye,Electricity (UPPCL),Low
armed robbery in shop at Faizabad Chowk market last night,Police (Home Dept),High
talaab par kabza ho raha hai Mau Tehsil gaon mein,Rural Development (Panchayati Raj),Medium
handpump kharab hai Mau Tehsil mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
street light pole looking tilted in Hardoi City,Electricity (UPPCL),Low
stray cattle destroying crops in Block Malihabad farms,Rural Development (Panchayati Raj),Medium
potholes needs repair in Mau Tehsil before monsoon,Roads (PWD/NHAI),Medium
sadak par bada gadda hai Basti market ke paas,Roads (PWD/NHAI),High
ladayi ho rahi hai Etawah Main chourahe par,Police (Home Dept),High
encroachment by shopkeepers on road in Meerut City,Roads (PWD/NHAI),Medium
"road caved in due to heavy rain in Gonda City, traffic blocked",Roads (PWD/NHAI),High
frequent power cuts in Ghaziabad is affecting exam preparation,Electricity (UPPCL),Medium
"meter name change application pending in Civil Lines, Kanpur",Electricity (UPPCL),Low
"sadak par bada gadda hai Gomti Nagar, Lucknow market ke paas",Roads (PWD/NHAI),High
"potholes needs repair in Hazratganj, Lucknow before monsoon",Roads (PWD/NHAI),Medium
village pond is being encroached by builder in Village Rampur,Rural Development (Panchayati Raj),Medium
"Basti me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
dogs roaming inside the ward at Ghaziabad chc,Health (Medical),Medium
request to start sewing center for women in Block Malihabad,Rural Development (Panchayati Raj),Low
street light pole looking tilted in Village Chhata,Electricity (UPPCL),Low
pradhan embezzled all money for road construction in Gram Panchayat Bojhi,Rural Development (Panchayati Raj),High
meter name change application pending in Gram Kachhona,Electricity (UPPCL),Low
library books request for Village Chhata village school,Rural Development (Panchayati Raj),Low
huge crater in middle of road at Faizabad Chowk causing accidents daily,Roads (PWD/NHAI),High
general query about filing fir online for Remote area of Sonbhadra resident,Police (Home Dept),Low
solar panel subsidy ki jankari chahiye Ghaziabad ke liye,Electricity (UPPCL),Low
passport verification pending at Gram Kachhona thana for 2 weeks,Police (Home Dept),Low
road construction incomplete in Basti,Roads (PWD/NHAI),Medium
park needs cleaning in Basti residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
park needs cleaning in Prayagraj City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"primary school roof is leaking in Village Basrehar, dangerous for kids",Rural Development (Panchayati Raj),Medium
"clean water nahi aa raha hai Agra Fort area mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
phone chori ho gaya Bareilly Cantt market me,Police (Home Dept),Medium
transformer caught fire in Block Malihabad and oil is leaking,Electricity (UPPCL),High
street light pole looking tilted in Raebareli Market,Electricity (UPPCL),Low
oxygen cylinder available nahi hai Noida Sector 18 hospital me,Health (Medical),High
"ambulance nahi aa rahi Agra Fort area mein, patient serious hai",Health (Medical),High
dogs roaming inside the ward at Basti chc,Health (Medical),Medium
handpump kharab hai Sitapur One mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
transformer caught fire in Meerut City and oil is leaking,Electricity (UPPCL),High
library books request for Village Basrehar village school,Rural Development (Panchayati Raj),Low
"live wire fell on the street in Gram Kachhona, huge danger to kids",Electricity (UPPCL),High
bridge railing toot gayi hai Village Chhata mein,Roads (PWD/NHAI),High
long waiting line for opd registration in Village Basrehar,Health (Medical),Low
handpump kharab hai Remote area of Sonbhadra mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
frequent power cuts in Unnao City is affecting exam preparation,Electricity (UPPCL),Medium
library books request for Village Basrehar village school,Rural Development (Panchayati Raj),Low
"chori ho gayi hai Post Kakori mein, police bhejo",Police (Home Dept),High
fake medicine racket operating in Mau Tehsil medical stores,Health (Medical),High
"road caved in due to heavy rain in Remote area of Sonbhadra, traffic blocked",Roads (PWD/NHAI),High
solar panel subsidy ki jankari chahiye Remote area of Sonbhadra ke liye,Electricity (UPPCL),Low
sadak par bada gadda hai Orai market ke paas,Roads (PWD/NHAI),High
huge crater in middle of road at Faizabad Chowk causing accidents daily,Roads (PWD/NHAI),High
"flood water entered village houses in Tehsil Bikapur, need rescue",Rural Development (Panchayati Raj),High
"park needs cleaning in Hazratganj, Lucknow residential area",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
footpath tiles broken in some places at Prayagraj City,Roads (PWD/NHAI),Low
internet nahi chal raha Mau Tehsil panchayat bhavan me,Rural Development (Panchayati Raj),Low
general query about filing fir online for Basti resident,Police (Home Dept),Low
"live wire fell on the street in Village Rampur, huge danger to kids",Electricity (UPPCL),High
character certificate chahiye Faizabad Chowk police station se,Police (Home Dept),Low
character certificate chahiye Sitapur One police station se,Police (Home Dept),Low
"garbage truck not coming to Civil Lines, Kanpur for last 3 days",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
public toilet tap is dripping in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
armed robbery in shop at Mau Tehsil market last night,Police (Home Dept),High
pradhan embezzled all money for road construction in Village Chhata,Rural Development (Panchayati Raj),High
ladayi ho rahi hai Hardoi City chourahe par,Police (Home Dept),High
talaab par kabza ho raha hai Village Rampur gaon mein,Rural Development (Panchayati Raj),Medium
"primary school roof is leaking in Gram Kachhona, dangerous for kids",Rural Development (Panchayati Raj),Medium
oxygen cylinder available nahi hai Village Rampur hospital me,Health (Medical),High
armed robbery in shop at Prayagraj City market last night,Police (Home Dept),High
loudspeaker shor kar raha hai Hardoi City mein raat ko,Police (Home Dept),Medium
road construction incomplete in Block Malihabad,Roads (PWD/NHAI),Medium
long waiting line for opd registration in Orai,Health (Medical),Low
pradhan ne paisa kha liya Mau Tehsil road ka,Rural Development (Panchayati Raj),High
dogs roaming inside the ward at Village Basrehar chc,Health (Medical),Medium
sadak par bada gadda hai Village Chhata market ke paas,Roads (PWD/NHAI),High
ladayi ho rahi hai Meerut City chourahe par,Police (Home Dept),High
passport verification pending at Prayagraj City thana for 2 weeks,Police (Home Dept),Low
meter name change application pending in Village Rampur,Electricity (UPPCL),Low
road construction incomplete in Agra Fort area,Roads (PWD/NHAI),Medium
